,x,y,z,Vx,Vy,Vz,cloneOf
18839,-2000622436.410249,625927770.6055478,-426602644.0378567,-281585.5296019587,-542270.4551820924,534021.4117647777,1050
18840,-2808287632.7148404,1372468921.634744,-957789677.2312952,-296313.9179236098,-372046.65198587766,337315.59788260947,1050
18841,-2942594514.4915934,1185545757.8159654,-789385972.8496202,-251509.4978244179,-391939.7086777985,350896.9920784651,1050
18842,-3054506475.2259183,989599874.9281071,-614974564.5702775,-204790.93858119525,-408849.8675270146,361807.84828720696,1050
18843,-2809377618.595509,1359882564.1570735,-972434184.1787531,-295930.0452971223,-367613.9724543782,342473.1191360828,1050
18844,-2943492853.224259,1175172401.0359418,-801455604.2503673,-251110.16927032426,-387328.5554307664,356262.17147065676,1050
18845,-3055206329.910393,981518466.3544302,-624377463.241511,-204379.19323091322,-404095.33422495046,367339.85356335825,1050
18846,-2810484049.717094,1347106309.0994043,-986912069.5348568,-295540.3809645812,-363114.4145494149,347571.95938364865,1050
18847,-2944404745.707615,1164642535.4842196,-813387910.3592304,-250704.8158177497,-382647.8310751617,361566.3071738094,1050
18848,-3055916743.703106,973315128.94361,-633673378.0487219,-203961.2356428385,-399269.066557349,372808.9170466722,1050
18849,-2811606736.498317,1334142345.6072686,-1001220852.5884829,-295144.99169296364,-358548.7492470709,352611.24496527936,1050
18850,-2945330035.6935782,1153957965.3990536,-825180846.6369861,-250293.50692192165,-377898.3376290061,366808.49035157636,1050
18851,-3056637594.8783116,964991268.2952812,-642860716.1847638,-203537.1374318523,-394371.89148032956,378214.1016412758,1050
18852,-2812745486.5725784,1320992894.9890711,-1015358081.6033171,-294743.9452301861,-353917.7588505917,357590.11242533295,1050
18853,-2946268564.638474,1143120521.5265224,-836832392.4247131,-249876.31305850195,-373080.88889355113,371987.8227828569,1050
18854,-3057368759.9218707,956548310.660114,-651937903.4465433,-203106.97126499962,-389404.6480996307,383554.4811966146,1050
