"spkid","a","e","i","om","w","ma"
3683194,5.643,0.4152,32.64,304.68,44.64,259.69
3755422,16.16,0.6116,15.03,343.94,10.50,54.07
54181712,12.18,0.8652,15.85,167.32,60.37,64.85
54181696,8.256,0.7596,18.14,143.11,159.30,108.23
3691644,13.25,0.4875,3.79,102.68,257.08,76.08
3691850,6.608,0.6574,9.48,243.50,149.79,207.79
3692747,29.04,0.9030,128.54,193.74,149.08,23.74
3733266,26.08,0.1822,15.51,117.19,357.31,326.38
3940211,6.029,0.6679,11.61,83.42,35.24,231.41
3693196,13.87,0.7032,13.07,126.73,296.27,63.58
54181754,12.4,0.8892,7.07,238.89,207.73,53.20
54181753,5.636,0.7444,11.57,27.92,277.65,192.44
3694766,13.86,0.7099,170.97,52.68,6.87,1.68
3775190,23.4,0.3831,21.31,18.86,82.04,357.65
3790101,28.15,0.4411,12.22,17.04,304.46,52.04
54181751,9.585,0.7564,7.36,245.80,175.57,73.96
54198954,26.58,0.4242,35.72,158.18,104.90,125.97
3826713,27.61,0.2634,32.73,181.74,242.57,9.06
3697562,5.821,0.6251,31.81,211.95,206.37,350.79
3699884,9.258,0.5978,22.64,45.16,19.11,126.65
3755428,28.4,0.5334,9.52,172.98,262.78,24.99
54055152,8.542,0.5898,4.10,136.97,8.12,143.12
54181800,6.979,0.7831,9.45,127.08,288.51,131.42
54181820,5.743,0.6547,13.21,172.07,301.93,164.93
54428053,13.06,0.6574,6.93,117.98,24.59,69.95
3703676,21.82,0.8333,140.01,151.74,48.51,32.72
3802477,5.977,0.6035,10.69,22.99,41.45,250.69
3713514,5.506,0.5135,11.33,2.14,140.76,268.77
3707695,7.731,0.6712,94.50,287.48,252.81,343.66
54181952,9.352,0.8080,0.34,178.63,240.77,87.05
54181928,7.693,0.7476,18.05,300.57,117.96,118.40
3709465,12.11,0.6245,4.75,225.67,250.50,85.92
3755427,27.75,0.0878,10.95,256.08,259.63,30.00
3755463,14.13,0.5503,6.99,242.77,238.34,65.00
3779512,6.855,0.3057,9.17,268.86,306.25,157.00
54181975,16.73,0.8774,8.35,262.15,163.67,37.35
54049821,23.51,0.1678,5.61,46.48,233.92,273.98
3712456,8.184,0.4212,21.75,117.34,94.42,127.27
